geometry,clock_model,initial_position_sigma_m,initial_clock_bias_prior_present,initial_clock_bias_sigma_m,initial_clock_drift_prior_present,initial_clock_drift_sigma_m_per_s,bias_rw_density_m_per_sqrt_s,drift_rw_density_m_per_s_per_sqrt_s,range_sigma_m,prior_absolute_std_m,posterior_absolute_std_m,absolute_relative_variance_reduction,prior_relative_displacement_std_m,posterior_relative_displacement_std_m,relative_displacement_variance_reduction
symmetric_aligned,independent,1.0,False,,False,,,,10.0,3.162277660167,2.706682167332,0.267387164504,2.999999999999,2.64647690534,0.221795554388
symmetric_aligned,constant,1.0,False,,False,,,,10.0,3.162277660167,2.706682167333,0.267387164504,2.999999999999,2.646476905341,0.221795554388
symmetric_aligned,random_walk,1.0,True,10.0,False,,1.0,,10.0,3.162277660167,2.706682167333,0.267387164504,2.999999999999,2.646476905341,0.221795554388
symmetric_aligned,bias_drift,1.0,True,10.0,True,1.0,1.0,0.1,10.0,3.162277660167,2.706682167332,0.267387164504,2.999999999999,2.646476905341,0.221795554388
elevation_asymmetric_45deg,independent,1.0,False,,False,,,,10.0,3.162277660167,2.877550074186,0.171970557055,2.999999999999,2.77761762965,0.142760033717
elevation_asymmetric_45deg,constant,1.0,False,,False,,,,10.0,3.162277660167,2.877237939374,0.172150184022,2.999999999999,2.777277676437,0.14296985644
elevation_asymmetric_45deg,random_walk,1.0,True,10.0,False,,1.0,,10.0,3.162277660167,2.877248529509,0.172144089943,2.999999999999,2.777308325914,0.142950940312
elevation_asymmetric_45deg,bias_drift,1.0,True,10.0,True,1.0,1.0,0.1,10.0,3.162277660167,2.87743028625,0.172039494777,2.999999999999,2.777496011044,0.142835100959
time_varying_45deg,independent,1.0,False,,False,,,,10.0,3.162277660167,2.965997445392,0.120285915392,2.999999999999,2.848179673325,0.098652505384
time_varying_45deg,constant,1.0,False,,False,,,,10.0,3.162277660167,2.965997445392,0.120285915392,2.999999999999,2.848179673325,0.098652505384
time_varying_45deg,random_walk,1.0,True,10.0,False,,1.0,,10.0,3.162277660167,2.965997445392,0.120285915392,2.999999999999,2.848179673324,0.098652505384
time_varying_45deg,bias_drift,1.0,True,10.0,True,1.0,1.0,0.1,10.0,3.162277660167,2.965997445392,0.120285915392,2.999999999999,2.848179673325,0.098652505384
