geometry,initial_angle_degrees,first_elevation_degrees,second_elevation_degrees,first_range_sigma_m,second_range_sigma_m,azimuth_drift_degrees_per_epoch,prior_weak_std_m,posterior_weak_std_m,relative_variance_reduction
symmetric,0.0,45.0,45.0,10.0,10.0,0.0,3.162277660168,2.706682167332,0.267387164505
symmetric,15.0,45.0,45.0,10.0,10.0,0.0,3.162277660168,2.731839523258,0.253705281917
symmetric,30.0,45.0,45.0,10.0,10.0,0.0,3.162277660168,2.803831420317,0.213852936644
symmetric,45.0,45.0,45.0,10.0,10.0,0.0,3.162277660168,2.910805571948,0.152721092232
symmetric,60.0,45.0,45.0,10.0,10.0,0.0,3.162277660168,3.029481504133,0.082224181611
symmetric,75.0,45.0,45.0,10.0,10.0,0.0,3.162277660168,3.125146567834,0.023345892955
symmetric,90.0,45.0,45.0,10.0,10.0,0.0,3.162277660168,3.162277660168,0.0
elevation_asymmetry,0.0,45.0,35.0,10.0,10.0,0.0,3.162277660168,2.652257605819,0.296552959237
elevation_asymmetry,15.0,45.0,35.0,10.0,10.0,0.0,3.162277660168,2.67974456959,0.281896904175
elevation_asymmetry,30.0,45.0,35.0,10.0,10.0,0.0,3.162277660168,2.758803484637,0.238900333316
elevation_asymmetry,45.0,45.0,35.0,10.0,10.0,0.0,3.162277660168,2.87743028625,0.172039494777
elevation_asymmetry,60.0,45.0,35.0,10.0,10.0,0.0,3.162277660168,3.010758727232,0.09353318864
elevation_asymmetry,75.0,45.0,35.0,10.0,10.0,0.0,3.162277660168,3.119652587958,0.026776773045
elevation_asymmetry,90.0,45.0,35.0,10.0,10.0,0.0,3.162277660168,3.162277660168,0.0
noise_asymmetry,0.0,45.0,45.0,10.0,20.0,0.0,3.162277660168,2.93551571719,0.138274747413
noise_asymmetry,15.0,45.0,45.0,10.0,20.0,0.0,3.162277660168,2.94933985145,0.130139444065
noise_asymmetry,30.0,45.0,45.0,10.0,20.0,0.0,3.162277660168,2.988022888435,0.107171921819
noise_asymmetry,45.0,45.0,45.0,10.0,20.0,0.0,3.162277660168,3.043155508044,0.073920455386
noise_asymmetry,60.0,45.0,45.0,10.0,20.0,0.0,3.162277660168,3.101150953007,0.038286276666
noise_asymmetry,75.0,45.0,45.0,10.0,20.0,0.0,3.162277660168,3.14557515481,0.010535694544
noise_asymmetry,90.0,45.0,45.0,10.0,20.0,0.0,3.162277660168,3.162277660168,0.0
time_varying_azimuth,0.0,45.0,45.0,10.0,10.0,1.0,3.162277660168,2.712553597634,0.264205297996
time_varying_azimuth,15.0,45.0,45.0,10.0,10.0,1.0,3.162277660168,2.760231337053,0.238112296595
time_varying_azimuth,30.0,45.0,45.0,10.0,10.0,1.0,3.162277660168,2.850300049058,0.187578963034
time_varying_azimuth,45.0,45.0,45.0,10.0,10.0,1.0,3.162277660168,2.965997445392,0.120285915393
time_varying_azimuth,60.0,45.0,45.0,10.0,10.0,1.0,3.162277660168,3.078414458859,0.052336441949
time_varying_azimuth,75.0,45.0,45.0,10.0,10.0,1.0,3.162277660168,3.150510569476,0.007428315162
time_varying_azimuth,90.0,45.0,45.0,10.0,10.0,1.0,3.162277660168,3.153399366362,0.005607243623
