parameter_name,symbol,value_or_range,unit,time_scale,noise_type,hardware_or_system,source_url,page_or_section,evidence_status,intended_use,limitations
stereo_resolution,"W,H","1024,1024",pixel,per_frame,not_applicable,LuSNAR stereo camera,https://github.com/zqyu9/LuSNAR-dataset,README Sensor Specifications,source_supported_value,Unreal MVP candidate camera preset,Official README checked; arXiv PDF unavailable in this environment; Interface reference only; real lunar hardware/environment applicability is unknown
stereo_frame_rate,f_cam,10,Hz,0.1 s sample interval,not_reported,LuSNAR stereo camera,https://github.com/zqyu9/LuSNAR-dataset,README Sensor Specifications,source_supported_value,Unreal MVP output frequency,Simulation setting; not a lunar flight hardware requirement; Interface reference only; real lunar hardware/environment applicability is unknown
stereo_baseline,B,0.310,m,static,not_applicable,LuSNAR stereo camera,https://github.com/zqyu9/LuSNAR-dataset,README Sensor Specifications,converted_from_source_value,Optional compatibility preset,README reports 310 mm; converted to metres
camera_field_of_view,FOV,80 x 80,degree,static,not_applicable,LuSNAR stereo camera,https://github.com/zqyu9/LuSNAR-dataset,README Dataset Statistics,source_supported_value,Optional compatibility preset,Projection convention and distortion remain to be checked from data/calibration; Interface reference only; real lunar hardware/environment applicability is unknown
camera_focal_length,f,610.17784,pixel,static,not_applicable,LuSNAR stereo camera,https://github.com/zqyu9/LuSNAR-dataset,README Sensor Specifications,source_supported_value,Optional compatibility preset,Principal point and distortion are not reported in the checked README; Interface reference only; real lunar hardware/environment applicability is unknown
lidar_channels,N_ring,128,channel,per_scan,not_reported,LuSNAR spinning LiDAR,https://github.com/zqyu9/LuSNAR-dataset,README Sensor Specifications,source_supported_value,Unreal MVP candidate LiDAR preset,Per-point ring field is not listed in the checked data format; Interface reference only; real lunar hardware/environment applicability is unknown
lidar_scan_rate,f_lidar,10,Hz,0.1 s scan interval,not_reported,LuSNAR spinning LiDAR,https://github.com/zqyu9/LuSNAR-dataset,README Sensor Specifications,source_supported_value,Unreal MVP output frequency,Per-point timing is not reported; Interface reference only; real lunar hardware/environment applicability is unknown
lidar_horizontal_fov,FOV_h,360,degree,static,not_applicable,LuSNAR spinning LiDAR,https://github.com/zqyu9/LuSNAR-dataset,README Sensor Specifications,source_supported_value,Unreal MVP candidate preset,Azimuth start and rotation direction are not reported; Interface reference only; real lunar hardware/environment applicability is unknown
lidar_vertical_fov,FOV_v,-25 to +27,degree,static,not_applicable,LuSNAR spinning LiDAR,https://github.com/zqyu9/LuSNAR-dataset,README Sensor Specifications,source_supported_value,Unreal MVP candidate preset,Beam elevation table is not reported; Interface reference only; real lunar hardware/environment applicability is unknown
lidar_max_range,R_max,30,m,per_return,not_reported,LuSNAR spinning LiDAR,https://github.com/zqyu9/LuSNAR-dataset,README Sensor Specifications,source_supported_upper_bound,Unreal MVP candidate preset,README reports <=30 m; minimum range and dropout model unreported; Interface reference only; real lunar hardware/environment applicability is unknown
