timestamp_ns,receiver_clock_range_bias_m,receiver_clock_range_drift_mps,model_id,random_seed
0,10.0,0.02,deterministic_linear,20260908
100000000,10.002,0.02,deterministic_linear,20260908
200000000,10.004,0.02,deterministic_linear,20260908
300000000,10.006,0.02,deterministic_linear,20260908
400000000,10.008,0.02,deterministic_linear,20260908
500000000,10.01,0.02,deterministic_linear,20260908
600000000,10.012,0.02,deterministic_linear,20260908
700000000,10.014,0.02,deterministic_linear,20260908
800000000,10.016,0.02,deterministic_linear,20260908
900000000,10.018,0.02,deterministic_linear,20260908
1000000000,10.02,0.02,deterministic_linear,20260908
1100000000,10.022,0.02,deterministic_linear,20260908
1200000000,10.024,0.02,deterministic_linear,20260908
1300000000,10.026,0.02,deterministic_linear,20260908
1400000000,10.028,0.02,deterministic_linear,20260908
1500000000,10.03,0.02,deterministic_linear,20260908
1600000000,10.032,0.02,deterministic_linear,20260908
1700000000,10.034,0.02,deterministic_linear,20260908
1800000000,10.036,0.02,deterministic_linear,20260908
1900000000,10.038,0.02,deterministic_linear,20260908
2000000000,10.04,0.02,deterministic_linear,20260908
2100000000,10.042,0.02,deterministic_linear,20260908
2200000000,10.044,0.02,deterministic_linear,20260908
2300000000,10.046,0.02,deterministic_linear,20260908
2400000000,10.048,0.02,deterministic_linear,20260908
2500000000,10.05,0.02,deterministic_linear,20260908
2600000000,10.052,0.02,deterministic_linear,20260908
2700000000,10.054,0.02,deterministic_linear,20260908
2800000000,10.056,0.02,deterministic_linear,20260908
2900000000,10.058,0.02,deterministic_linear,20260908
3000000000,10.06,0.02,deterministic_linear,20260908
