timestamp_ns,satellite_id,p_N_sat_x_m,p_N_sat_y_m,p_N_sat_z_m,satellite_clock_range_bias_m,visible_geometry_only
0,SAT01,1000.0,2000.0,1500.0,2.0,true
0,SAT02,-1200.0,900.0,1800.0,-1.0,true
100000000,SAT01,1000.0,2000.0,1500.0,2.0,true
100000000,SAT02,-1200.0,900.0,1800.0,-1.0,true
200000000,SAT01,1000.0,2000.0,1500.0,2.0,true
200000000,SAT02,-1200.0,900.0,1800.0,-1.0,true
300000000,SAT01,1000.0,2000.0,1500.0,2.0,true
300000000,SAT02,-1200.0,900.0,1800.0,-1.0,true
400000000,SAT01,1000.0,2000.0,1500.0,2.0,true
400000000,SAT02,-1200.0,900.0,1800.0,-1.0,true
500000000,SAT01,1000.0,2000.0,1500.0,2.0,true
500000000,SAT02,-1200.0,900.0,1800.0,-1.0,true
600000000,SAT01,1000.0,2000.0,1500.0,2.0,true
600000000,SAT02,-1200.0,900.0,1800.0,-1.0,true
700000000,SAT01,1000.0,2000.0,1500.0,2.0,true
700000000,SAT02,-1200.0,900.0,1800.0,-1.0,true
800000000,SAT01,1000.0,2000.0,1500.0,2.0,true
800000000,SAT02,-1200.0,900.0,1800.0,-1.0,true
900000000,SAT01,1000.0,2000.0,1500.0,2.0,true
900000000,SAT02,-1200.0,900.0,1800.0,-1.0,true
1000000000,SAT01,1000.0,2000.0,1500.0,2.0,true
1000000000,SAT02,-1200.0,900.0,1800.0,-1.0,true
1100000000,SAT01,1000.0,2000.0,1500.0,2.0,true
1100000000,SAT02,-1200.0,900.0,1800.0,-1.0,true
1200000000,SAT01,1000.0,2000.0,1500.0,2.0,true
1200000000,SAT02,-1200.0,900.0,1800.0,-1.0,true
1300000000,SAT01,1000.0,2000.0,1500.0,2.0,true
1300000000,SAT02,-1200.0,900.0,1800.0,-1.0,true
1400000000,SAT01,1000.0,2000.0,1500.0,2.0,true
1400000000,SAT02,-1200.0,900.0,1800.0,-1.0,true
1500000000,SAT01,1000.0,2000.0,1500.0,2.0,true
1500000000,SAT02,-1200.0,900.0,1800.0,-1.0,true
1600000000,SAT01,1000.0,2000.0,1500.0,2.0,true
1600000000,SAT02,-1200.0,900.0,1800.0,-1.0,true
1700000000,SAT01,1000.0,2000.0,1500.0,2.0,true
1700000000,SAT02,-1200.0,900.0,1800.0,-1.0,true
1800000000,SAT01,1000.0,2000.0,1500.0,2.0,true
1800000000,SAT02,-1200.0,900.0,1800.0,-1.0,true
1900000000,SAT01,1000.0,2000.0,1500.0,2.0,true
1900000000,SAT02,-1200.0,900.0,1800.0,-1.0,true
2000000000,SAT01,1000.0,2000.0,1500.0,2.0,true
2000000000,SAT02,-1200.0,900.0,1800.0,-1.0,true
2100000000,SAT01,1000.0,2000.0,1500.0,2.0,true
2100000000,SAT02,-1200.0,900.0,1800.0,-1.0,true
2200000000,SAT01,1000.0,2000.0,1500.0,2.0,true
2200000000,SAT02,-1200.0,900.0,1800.0,-1.0,true
2300000000,SAT01,1000.0,2000.0,1500.0,2.0,true
2300000000,SAT02,-1200.0,900.0,1800.0,-1.0,true
2400000000,SAT01,1000.0,2000.0,1500.0,2.0,true
2400000000,SAT02,-1200.0,900.0,1800.0,-1.0,true
2500000000,SAT01,1000.0,2000.0,1500.0,2.0,true
2500000000,SAT02,-1200.0,900.0,1800.0,-1.0,true
2600000000,SAT01,1000.0,2000.0,1500.0,2.0,true
2600000000,SAT02,-1200.0,900.0,1800.0,-1.0,true
2700000000,SAT01,1000.0,2000.0,1500.0,2.0,true
2700000000,SAT02,-1200.0,900.0,1800.0,-1.0,true
2800000000,SAT01,1000.0,2000.0,1500.0,2.0,true
2800000000,SAT02,-1200.0,900.0,1800.0,-1.0,true
2900000000,SAT01,1000.0,2000.0,1500.0,2.0,true
2900000000,SAT02,-1200.0,900.0,1800.0,-1.0,true
3000000000,SAT01,1000.0,2000.0,1500.0,2.0,true
3000000000,SAT02,-1200.0,900.0,1800.0,-1.0,true
