timestamp_ns,frame_index,omega_I_x_radps,omega_I_y_radps,omega_I_z_radps,specific_force_I_x_mps2,specific_force_I_y_mps2,specific_force_I_z_mps2
0,0,0,0,0.0,0.0,0.0,1.625
100000000,1,0,0,0.0,0.0,0.0,1.625
200000000,2,0,0,0.0,0.0,0.0,1.625
300000000,3,0,0,0.0,0.0,0.0,1.625
400000000,4,0,0,0.0,0.0,0.0,1.625
500000000,5,0,0,0.0,0.0,0.0,1.625
600000000,6,0,0,0.0,0.0,0.0,1.625
700000000,7,0,0,0.0,0.0,0.0,1.625
800000000,8,0,0,0.0,0.0,0.0,1.625
900000000,9,0,0,0.0,0.0,0.0,1.625
1000000000,10,0,0,0.0,0.0,0.0,1.625
1100000000,11,0,0,0.0,0.0,0.0,1.625
1200000000,12,0,0,0.0,0.0,0.0,1.625
1300000000,13,0,0,0.0,0.0,0.0,1.625
1400000000,14,0,0,0.0,0.0,0.0,1.625
1500000000,15,0,0,0.0,0.0,0.0,1.625
1600000000,16,0,0,0.0,0.0,0.0,1.625
1700000000,17,0,0,0.0,0.0,0.0,1.625
1800000000,18,0,0,0.0,0.0,0.0,1.625
1900000000,19,0,0,0.0,0.0,0.0,1.625
2000000000,20,0,0,0.0,0.0,0.0,1.625
2100000000,21,0,0,1.5707963267948966,0.0,0.0,1.625
2200000000,22,0,0,1.5707963267948966,0.0,0.0,1.625
2300000000,23,0,0,1.5707963267948966,0.0,0.0,1.625
2400000000,24,0,0,1.5707963267948966,0.0,0.0,1.625
2500000000,25,0,0,1.5707963267948966,0.0,0.0,1.625
2600000000,26,0,0,1.5707963267948966,0.0,0.0,1.625
2700000000,27,0,0,1.5707963267948966,0.0,0.0,1.625
2800000000,28,0,0,1.5707963267948966,0.0,0.0,1.625
2900000000,29,0,0,1.5707963267948966,0.0,0.0,1.625
3000000000,30,0,0,1.5707963267948966,0.0,0.0,1.625
