timestamp_ns,frame_index,p_N_B_x_m,p_N_B_y_m,p_N_B_z_m,q_N_B_w,q_N_B_x,q_N_B_y,q_N_B_z,v_N_B_x_mps,v_N_B_y_mps,v_N_B_z_mps,omega_B_x_radps,omega_B_y_radps,omega_B_z_radps
0,0,0.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
100000000,1,0.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
200000000,2,0.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
300000000,3,0.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
400000000,4,0.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
500000000,5,0.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
600000000,6,0.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
700000000,7,0.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
800000000,8,0.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
900000000,9,0.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
1000000000,10,0.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
1100000000,11,0.10000000000000009,0.0,0.6,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0
1200000000,12,0.19999999999999996,0.0,0.6,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0
1300000000,13,0.30000000000000004,0.0,0.6,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0
1400000000,14,0.3999999999999999,0.0,0.6,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0
1500000000,15,0.5,0.0,0.6,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0
1600000000,16,0.6000000000000001,0.0,0.6,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0
1700000000,17,0.7,0.0,0.6,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0
1800000000,18,0.8,0.0,0.6,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0
1900000000,19,0.8999999999999999,0.0,0.6,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0
2000000000,20,1.0,0.0,0.6,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0
2100000000,21,1.0,0.0,0.6,0.996917333733128,0.0,0.0,0.07845909572784515,0.0,0.0,0.0,0,0,1.5707963267948966
2200000000,22,1.0,0.0,0.6,0.9876883405951378,0.0,0.0,0.15643446504023092,0.0,0.0,0.0,0,0,1.5707963267948966
2300000000,23,1.0,0.0,0.6,0.9723699203976767,0.0,0.0,0.23344536385590525,0.0,0.0,0.0,0,0,1.5707963267948966
2400000000,24,1.0,0.0,0.6,0.9510565162951536,0.0,0.0,0.30901699437494745,0.0,0.0,0.0,0,0,1.5707963267948966
2500000000,25,1.0,0.0,0.6,0.9238795325112868,0.0,0.0,0.3826834323650898,0.0,0.0,0.0,0,0,1.5707963267948966
2600000000,26,1.0,0.0,0.6,0.8910065241883678,0.0,0.0,0.45399049973954686,0.0,0.0,0.0,0,0,1.5707963267948966
2700000000,27,1.0,0.0,0.6,0.8526401643540922,0.0,0.0,0.5224985647159489,0.0,0.0,0.0,0,0,1.5707963267948966
2800000000,28,1.0,0.0,0.6,0.8090169943749476,0.0,0.0,0.5877852522924731,0.0,0.0,0.0,0,0,1.5707963267948966
2900000000,29,1.0,0.0,0.6,0.760405965600031,0.0,0.0,0.6494480483301835,0.0,0.0,0.0,0,0,1.5707963267948966
3000000000,30,1.0,0.0,0.6,0.7071067811865476,0.0,0.0,0.7071067811865475,0.0,0.0,0.0,0,0,1.5707963267948966
